event_id,player_in_possession_id,player_in_possession_name,player_id,player_name,frame_start,x_start,y_start,player_in_possession_x_start,player_in_possession_y_start,pass_distance,interplayer_distance,interplayer_angle,trajectory_angle,pass_angle,n_opponents_ahead_pass_reception,n_opponents_bypassed,delta_to_last_defensive_line_start,separation_start,defensive_structure,inside_defensive_shape_end,dangerous,difficult_pass_target,risk_score,team_id,team_class
7_675,119153,T. Rodman,662391,R. Kouassi,19419,21.0,-11.02,24.21,-31.83,20.67,20.29,97.85,-53.75,101.27,7,0,15.49,9.0,,True,False,False,55.433,2333,Team 2
7_684,119153,T. Rodman,815174,M. Morris,19842,36.89,-18.0,28.26,-25.82,10.85,11.34,109.91,-26.3,104.02,2,-2,2.16,2.36,,True,False,True,35.385999999999996,2333,Team 2
7_686,815174,M. Morris,627216,P. Metayer,19907,42.04,-32.98,49.3,-25.65,9.47,9.71,-145.23,168.84,-142.25,6,-5,9.4,9.78,,False,False,False,57.717000000000006,2333,Team 2
7_698,62389,Angelina,149954,K. Strom,20242,-7.96,-13.39,8.68,-26.81,13.03,17.35,139.84,106.92,158.77,10,-2,35.34,13.91,4141.0,False,False,False,78.35,2334,Team 1
7_702,149954,K. Strom,441597,E. Madril Sams,20292,-11.32,-19.64,-7.98,-1.42,17.99,17.58,-101.85,95.16,-93.09,10,0,33.04,14.85,442.0,False,False,False,69.95700000000001,2334,Team 1
7_705,441597,E. Madril Sams,149954,K. Strom,20314,-10.47,-0.35,-11.07,-16.35,14.19,15.36,109.24,-157.28,101.46,10,0,30.84,10.8,442.0,False,False,False,76.315,2334,Team 1
7_707,149954,K. Strom,441597,E. Madril Sams,20352,-11.83,-16.01,-16.62,-2.57,12.39,11.65,-94.48,158.43,-90.79,10,0,31.83,8.62,442.0,False,False,False,74.278,2334,Team 1
7_710,441597,E. Madril Sams,149954,K. Strom,20403,-19.68,-0.26,-17.32,-15.87,14.78,16.32,102.78,160.91,97.03,10,0,34.24,11.91,424.0,False,False,False,77.244,2334,Team 1
7_713,149954,K. Strom,441597,E. Madril Sams,20446,-21.43,-11.32,-21.11,4.89,16.59,15.56,-93.57,108.95,-85.99,10,0,33.75,12.21,424.0,False,False,False,70.261,2334,Team 1
7_715,441597,E. Madril Sams,817541,C. Dyke,20470,-16.39,-26.23,-23.18,-9.13,15.93,18.63,-72.63,-117.71,-71.78,10,0,28.39,11.97,424.0,False,False,False,64.792,2334,Team 1
